what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.SourceView",1291365616850
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.SourceView",1291365616870
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1291365618337
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1291365620615
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291365624686
executed,command,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui.update",1291365638553
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291365638872
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291365645689
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1291365671007
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291365706403
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291365790027
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291365913116
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291395581046
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291395583217
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291395584863
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1291395584884
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291395594917
